Model,Accuracy,Precision,Recall,F1-score
Decision Tree,0.9656264133876075,0.9668820678513732,0.9715909090909091,0.9692307692307692
SVM (RBF),0.9601990049751243,0.953968253968254,0.9756493506493507,0.9646869983948636
KNN (k=5),0.9412030755314338,0.9443548387096774,0.950487012987013,0.9474110032362459
Naive Bayes,0.5947535052012664,0.9970414201183432,0.273538961038961,0.42929936305732486
