Model,Accuracy,Precision,Recall,F1-score
Random Forest,0.9742198100407056,0.9696,0.9845653939886271,0.9770253929866989
Decision Tree,0.9710538218000905,0.9701853344077357,0.9780666125101544,0.9741100323624595
SVM (RBF),0.9516056083220262,0.9418238993710691,0.9731925264012997,0.9572512984418697
KNN (k=5),0.9488919041157847,0.9515347334410339,0.9569455727051178,0.9542324827865533
Naive Bayes,0.5974672094075079,1.0,0.2770105605199025,0.43384223918575066
