Model,Accuracy,Precision,Recall,F1-score
Random Forest,0.9742198100407056,0.9696243005595524,0.984577922077922,0.9770438985098671
Decision Tree,0.9656264133876075,0.9668820678513732,0.9715909090909091,0.9692307692307692
SVM (RBF),0.9601990049751243,0.953968253968254,0.9756493506493507,0.9646869983948636
KNN (k=5),0.9425599276345545,0.9444891391794047,0.952922077922078,0.9486868686868687
Naive Bayes,0.5947535052012664,0.9970414201183432,0.273538961038961,0.42929936305732486
