Model,Accuracy,Precision,Recall,F1-score
SVM (RBF),0.969,0.9616141732283464,0.977,0.9692460317460317
Decision Tree,0.9645,0.9612711022840119,0.968,0.9646238166417539
KNN (k=5),0.9615,0.9555774925962488,0.968,0.9617486338797814
Naive Bayes,0.8535,0.9435382685069009,0.752,0.8369504730105731
